,id_utente,eta_utente,nazionalita_utente,occupazione_utente,categoria_preferita1,categoria_preferita2,categoria_preferita3,durata_media_sessioni,contenuto_preferito,durata_contenuto_preferito,attore_preferito,regista_preferito,Cluster
125,126,30,2,9,2,13,21,65,22,134,20,22,15
126,127,35,1,4,1,10,6,50,23,164,9,23,8
127,128,38,4,7,0,13,2,45,0,22,0,0,19
128,129,43,0,8,5,8,4,55,24,50,6,24,11
129,130,31,3,1,3,0,16,40,25,22,21,25,5
130,131,27,4,10,7,10,4,55,12,45,11,12,9
131,132,33,1,11,2,8,10,55,13,55,12,13,3
132,133,40,0,4,0,13,2,45,14,22,13,14,18
133,134,26,2,0,3,0,16,40,26,22,22,26,24
134,135,39,0,2,5,15,20,60,16,45,15,16,6
135,136,32,4,12,0,6,12,50,17,22,16,17,14
136,137,28,3,1,7,10,4,55,18,55,6,18,17
137,138,37,1,5,8,2,10,60,19,50,17,19,7
138,139,42,0,13,0,9,12,50,20,60,18,20,13
139,140,25,4,0,9,12,6,50,21,159,19,21,4
140,141,30,2,9,2,13,21,65,22,134,20,22,15
141,142,35,1,4,1,10,6,50,23,164,9,23,8
142,143,38,4,7,0,13,2,45,0,22,0,0,19
143,144,43,0,8,5,8,4,55,24,50,6,24,11
144,145,31,3,1,3,0,16,40,25,22,21,25,5
145,146,27,4,10,7,10,4,55,12,45,11,12,9
146,147,33,1,11,2,8,10,55,13,55,12,13,3
147,148,40,0,4,0,13,2,45,14,22,13,14,18
148,149,26,2,0,3,0,16,40,26,22,22,26,24
149,150,39,0,2,5,15,20,60,16,45,15,16,6
150,151,32,4,12,0,6,12,50,17,22,16,17,14
151,152,28,3,1,7,10,4,55,18,55,6,18,17
152,153,37,1,5,8,2,10,60,19,50,17,19,7
153,154,42,0,13,0,9,12,50,20,60,18,20,13
154,155,25,4,0,9,12,6,50,21,159,19,21,4
155,156,30,2,9,2,13,21,65,22,134,20,22,15
156,157,35,1,4,1,10,6,50,23,164,9,23,8
157,158,38,4,7,0,13,2,45,0,22,0,0,19
158,159,43,0,8,5,8,4,55,24,50,6,24,11
159,160,31,3,1,3,0,16,40,25,22,21,25,5
160,161,27,4,10,7,10,4,55,12,45,11,12,9
161,162,33,1,11,2,8,10,55,13,55,12,13,3
162,163,40,0,4,0,13,2,45,14,22,13,14,18
163,164,26,2,0,3,0,16,40,26,22,22,26,24
164,165,39,0,2,5,15,20,60,16,45,15,16,6
165,166,32,4,12,0,6,12,50,17,22,16,17,14
166,167,28,3,1,7,10,4,55,18,55,6,18,17
167,168,37,1,5,8,2,10,60,19,50,17,19,7
168,169,42,0,13,0,9,12,50,20,60,18,20,13
169,170,25,4,0,9,12,6,50,21,159,19,21,4
170,171,30,2,9,2,13,21,65,22,134,20,22,15
171,172,35,1,4,1,10,6,50,23,164,9,23,8
172,173,38,4,7,0,13,2,45,0,22,0,0,19
173,174,43,0,8,5,8,4,55,24,50,6,24,11
174,175,31,3,1,3,0,16,40,25,22,21,25,5
175,176,27,4,10,7,10,4,55,12,45,11,12,9
176,177,33,1,11,2,8,10,55,13,55,12,13,3
177,178,40,0,4,0,13,2,45,14,22,13,14,18
178,179,26,2,0,3,0,16,40,26,22,22,26,24
179,180,39,0,2,5,15,20,60,16,45,15,16,6
180,181,32,4,12,0,6,12,50,17,22,16,17,14
181,182,28,3,1,7,10,4,55,18,55,6,18,17
182,183,37,1,5,8,2,10,60,19,50,17,19,7
183,184,42,0,13,0,9,12,50,20,60,18,20,13
184,185,25,4,0,9,12,6,50,21,159,19,21,4
185,186,30,2,9,2,13,21,65,22,134,20,22,15
186,187,35,1,4,1,10,6,50,23,164,9,23,8
187,188,38,4,7,0,13,2,45,0,22,0,0,19
188,189,43,0,8,5,8,4,55,24,50,6,24,11
189,190,31,3,1,3,0,16,40,25,22,21,25,5
190,191,27,4,10,7,10,4,55,12,45,11,12,9
191,192,33,1,11,2,8,10,55,13,55,12,13,3
192,193,40,0,4,0,13,2,45,14,22,13,14,18
193,194,26,2,0,3,0,16,40,26,22,22,26,24
194,195,39,0,2,5,15,20,60,16,45,15,16,6
195,196,32,4,12,0,6,12,50,17,22,16,17,14
196,197,28,3,1,7,10,4,55,18,55,6,18,17
197,198,37,1,5,8,2,10,60,19,50,17,19,7
198,199,42,0,13,0,9,12,50,20,60,18,20,13
199,200,25,4,0,9,12,6,50,21,159,19,21,4
