,id_utente,eta_utente,nazionalita_utente,occupazione_utente,categoria_preferita1,categoria_preferita2,categoria_preferita3,durata_media_sessioni,contenuto_preferito,durata_contenuto_preferito,attore_preferito,regista_preferito,Cluster
56,57,7,3,3,3,0,16,40,27,22,23,27,13
57,58,35,4,6,0,13,2,45,14,22,13,14,5
58,59,28,2,14,7,10,4,55,12,45,11,12,29
59,60,39,4,15,2,8,10,55,13,55,12,13,10
60,61,10,0,3,3,0,16,40,3,22,3,3,0
61,62,39,3,1,1,10,6,50,1,148,1,1,25
62,63,42,1,2,2,8,10,55,2,60,2,2,19
63,64,6,4,3,3,0,16,40,15,22,14,15,13
64,65,31,2,4,4,8,2,60,4,90,4,4,23
65,66,29,0,5,0,6,12,50,5,45,5,5,18
66,67,38,5,6,5,11,17,65,6,60,6,6,15
67,68,33,4,7,1,7,10,55,7,55,7,7,24
68,69,45,2,8,6,12,9,50,8,201,8,8,16
69,70,27,1,0,0,13,2,45,9,128,9,9,22
70,71,36,0,9,5,14,18,60,10,45,6,10,20
71,72,30,3,1,2,13,19,65,11,50,10,11,21
72,73,29,4,10,7,10,4,55,12,45,11,12,9
73,74,34,1,11,2,8,10,55,13,55,12,13,2
74,75,40,0,4,0,13,2,45,14,22,13,14,11
75,76,26,2,0,3,0,16,40,26,22,22,26,26
76,77,39,0,2,5,15,20,60,16,45,15,16,6
77,78,32,4,12,0,6,12,50,17,22,16,17,10
78,79,28,3,1,7,10,4,55,18,55,6,18,3
79,80,37,1,5,8,2,10,60,19,50,17,19,14
80,81,41,0,13,0,9,12,50,20,60,18,20,17
81,82,24,4,0,9,12,6,50,21,159,19,21,12
82,83,29,2,9,2,13,21,65,22,134,20,22,7
83,84,35,1,4,1,10,6,50,23,164,9,23,1
84,85,38,4,7,0,13,2,45,0,22,0,0,5
85,86,43,0,8,5,8,4,55,24,50,6,24,8
86,87,31,3,1,3,0,16,40,25,22,21,25,4
87,88,27,4,10,7,10,4,55,12,45,11,12,9
88,89,33,1,11,2,8,10,55,13,55,12,13,2
89,90,40,0,4,0,13,2,45,14,22,13,14,11
90,91,26,2,0,3,0,16,40,26,22,22,26,26
91,92,39,0,2,5,15,20,60,16,45,15,16,6
92,93,32,4,12,0,6,12,50,17,22,16,17,10
93,94,28,3,1,7,10,4,55,18,55,6,18,3
94,95,37,1,5,8,2,10,60,19,50,17,19,14
95,96,42,0,13,0,9,12,50,20,60,18,20,17
96,97,25,4,0,9,12,6,50,21,159,19,21,12
97,98,30,2,9,2,13,21,65,22,134,20,22,7
98,99,35,1,4,1,10,6,50,23,164,9,23,1
99,100,8,0,3,3,0,16,40,27,22,23,27,0
100,101,29,3,6,0,13,2,45,14,22,13,14,27
101,102,26,4,14,7,10,4,55,12,45,11,12,9
102,103,31,1,15,2,8,10,55,13,55,12,13,2
103,104,10,4,3,3,0,16,40,3,22,3,3,13
104,105,39,3,1,1,10,6,50,1,148,1,1,25
105,106,42,1,2,2,8,10,55,2,60,2,2,19
106,107,6,4,3,3,0,16,40,15,22,14,15,13
107,108,31,2,4,4,8,2,60,4,90,4,4,23
108,109,29,0,5,0,6,12,50,5,45,5,5,18
109,110,38,5,6,5,11,17,65,6,60,6,6,15
110,111,33,4,7,1,7,10,55,7,55,7,7,24
111,112,45,2,8,6,12,9,50,8,201,8,8,16
112,113,27,1,0,0,13,2,45,9,128,9,9,22
113,114,36,0,9,5,14,18,60,10,45,6,10,20
114,115,30,3,1,2,13,19,65,11,50,10,11,21
115,116,29,4,10,7,10,4,55,12,45,11,12,9
116,117,34,1,11,2,8,10,55,13,55,12,13,2
117,118,40,0,4,0,13,2,45,14,22,13,14,11
118,119,26,2,0,3,0,16,40,26,22,22,26,26
119,120,39,0,2,5,15,20,60,16,45,15,16,6
120,121,32,4,12,0,6,12,50,17,22,16,17,10
121,122,28,3,1,7,10,4,55,18,55,6,18,3
122,123,37,1,5,8,2,10,60,19,50,17,19,14
123,124,41,0,13,0,9,12,50,20,60,18,20,17
124,125,25,4,0,9,12,6,50,21,159,19,21,12
125,126,30,2,9,2,13,21,65,22,134,20,22,7
126,127,35,1,4,1,10,6,50,23,164,9,23,1
127,128,38,4,7,0,13,2,45,0,22,0,0,5
128,129,43,0,8,5,8,4,55,24,50,6,24,8
129,130,31,3,1,3,0,16,40,25,22,21,25,4
130,131,27,4,10,7,10,4,55,12,45,11,12,9
131,132,33,1,11,2,8,10,55,13,55,12,13,2
132,133,40,0,4,0,13,2,45,14,22,13,14,11
133,134,26,2,0,3,0,16,40,26,22,22,26,26
134,135,39,0,2,5,15,20,60,16,45,15,16,6
135,136,32,4,12,0,6,12,50,17,22,16,17,10
136,137,28,3,1,7,10,4,55,18,55,6,18,3
137,138,37,1,5,8,2,10,60,19,50,17,19,14
138,139,42,0,13,0,9,12,50,20,60,18,20,17
139,140,25,4,0,9,12,6,50,21,159,19,21,12
140,141,30,2,9,2,13,21,65,22,134,20,22,7
141,142,35,1,4,1,10,6,50,23,164,9,23,1
142,143,38,4,7,0,13,2,45,0,22,0,0,5
143,144,43,0,8,5,8,4,55,24,50,6,24,8
144,145,31,3,1,3,0,16,40,25,22,21,25,4
145,146,27,4,10,7,10,4,55,12,45,11,12,9
146,147,33,1,11,2,8,10,55,13,55,12,13,2
147,148,40,0,4,0,13,2,45,14,22,13,14,11
148,149,26,2,0,3,0,16,40,26,22,22,26,26
149,150,39,0,2,5,15,20,60,16,45,15,16,6
150,151,32,4,12,0,6,12,50,17,22,16,17,10
151,152,28,3,1,7,10,4,55,18,55,6,18,3
152,153,37,1,5,8,2,10,60,19,50,17,19,14
153,154,42,0,13,0,9,12,50,20,60,18,20,17
154,155,25,4,0,9,12,6,50,21,159,19,21,12
155,156,30,2,9,2,13,21,65,22,134,20,22,7
156,157,35,1,4,1,10,6,50,23,164,9,23,1
157,158,38,4,7,0,13,2,45,0,22,0,0,5
158,159,43,0,8,5,8,4,55,24,50,6,24,8
159,160,31,3,1,3,0,16,40,25,22,21,25,4
160,161,27,4,10,7,10,4,55,12,45,11,12,9
161,162,33,1,11,2,8,10,55,13,55,12,13,2
162,163,40,0,4,0,13,2,45,14,22,13,14,11
163,164,26,2,0,3,0,16,40,26,22,22,26,26
164,165,39,0,2,5,15,20,60,16,45,15,16,6
165,166,32,4,12,0,6,12,50,17,22,16,17,10
166,167,28,3,1,7,10,4,55,18,55,6,18,3
167,168,37,1,5,8,2,10,60,19,50,17,19,14
168,169,42,0,13,0,9,12,50,20,60,18,20,17
169,170,25,4,0,9,12,6,50,21,159,19,21,12
170,171,30,2,9,2,13,21,65,22,134,20,22,7
171,172,35,1,4,1,10,6,50,23,164,9,23,1
172,173,38,4,7,0,13,2,45,0,22,0,0,5
173,174,43,0,8,5,8,4,55,24,50,6,24,8
174,175,31,3,1,3,0,16,40,25,22,21,25,4
175,176,27,4,10,7,10,4,55,12,45,11,12,9
176,177,33,1,11,2,8,10,55,13,55,12,13,2
177,178,40,0,4,0,13,2,45,14,22,13,14,11
178,179,26,2,0,3,0,16,40,26,22,22,26,26
179,180,39,0,2,5,15,20,60,16,45,15,16,6
180,181,32,4,12,0,6,12,50,17,22,16,17,10
181,182,28,3,1,7,10,4,55,18,55,6,18,3
182,183,37,1,5,8,2,10,60,19,50,17,19,14
183,184,42,0,13,0,9,12,50,20,60,18,20,17
184,185,25,4,0,9,12,6,50,21,159,19,21,12
185,186,30,2,9,2,13,21,65,22,134,20,22,7
186,187,35,1,4,1,10,6,50,23,164,9,23,1
187,188,38,4,7,0,13,2,45,0,22,0,0,5
188,189,43,0,8,5,8,4,55,24,50,6,24,8
189,190,31,3,1,3,0,16,40,25,22,21,25,4
190,191,27,4,10,7,10,4,55,12,45,11,12,9
191,192,33,1,11,2,8,10,55,13,55,12,13,2
192,193,40,0,4,0,13,2,45,14,22,13,14,11
193,194,26,2,0,3,0,16,40,26,22,22,26,26
194,195,39,0,2,5,15,20,60,16,45,15,16,6
195,196,32,4,12,0,6,12,50,17,22,16,17,10
196,197,28,3,1,7,10,4,55,18,55,6,18,3
197,198,37,1,5,8,2,10,60,19,50,17,19,14
198,199,42,0,13,0,9,12,50,20,60,18,20,17
199,200,25,4,0,9,12,6,50,21,159,19,21,12
